State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,FIPS
Alabama,DeKalb,2018,58,58,0,0,0,0,0,44,37,31,0,0,58,0,0,0,01
Alabama,Etowah,2018,59,27,31,0,1,0,0,153,62,52,0,0,0,0,59,0,01
Alabama,Jefferson,2018,59,38,21,0,0,0,0,72,57,47,0,1,6,7,44,1,01
Alabama,Mobile,2018,59,55,4,0,0,0,0,53,38,17,0,0,0,20,39,0,01
Alabama,Morgan,2018,59,54,5,0,0,0,0,56,50,29,0,0,0,0,59,0,01
Alabama,Russell,2018,59,35,24,0,0,0,0,84,63,45,0,0,0,0,59,0,01
Alabama,Shelby,2018,58,57,0,1,0,0,0,124,9,0,0,0,0,58,0,0,01
Alabama,Sumter,2018,59,59,0,0,0,0,0,45,36,19,0,0,0,9,50,0,01
Alabama,Tuscaloosa,2018,54,43,11,0,0,0,0,62,54,38,0,0,0,0,54,0,01
Alaska,Denali ,2018,90,90,0,0,0,0,0,49,44,39,0,0,90,0,0,0,02
Arizona,Apache,2018,94,94,0,0,0,0,0,26,16,10,0,0,0,0,8,86,04
Arizona,Cochise,2018,90,85,5,0,0,0,0,63,49,44,0,0,78,0,1,11,04
Arizona,Coconino,2018,90,89,1,0,0,0,0,61,47,43,0,0,90,0,0,0,04
Arizona,Gila,2018,90,34,33,20,3,0,0,181,126,64,0,0,29,57,0,4,04
Arizona,La Paz,2018,90,87,3,0,0,0,0,67,48,41,0,0,87,0,3,0,04
Arizona,Maricopa,2018,90,17,71,1,0,1,0,249,80,62,0,6,21,0,26,37,04
Arizona,Mohave,2018,90,88,2,0,0,0,0,82,21,9,0,0,0,0,0,90,04
Arizona,Navajo,2018,90,89,1,0,0,0,0,54,47,40,0,0,86,0,0,4,04
Arizona,Pima,2018,90,71,19,0,0,0,0,85,56,39,0,0,0,0,0,90,04
Arizona,Pinal,2018,90,83,7,0,0,0,0,67,50,44,0,0,90,0,0,0,04
Arizona,Santa Cruz,2018,89,61,27,0,1,0,0,183,64,39,0,0,0,0,50,39,04
Arizona,Yavapai,2018,90,90,0,0,0,0,0,50,46,39,0,0,90,0,0,0,04
Arizona,Yuma,2018,90,72,16,2,0,0,0,130,59,44,0,0,54,0,6,30,04
Arkansas,Arkansas,2018,28,24,4,0,0,0,0,58,52,32,0,0,0,0,28,0,05
Arkansas,Ashley,2018,30,30,0,0,0,0,0,49,43,25,0,0,0,0,30,0,05
Arkansas,Clark,2018,59,59,0,0,0,0,0,40,36,28,0,0,59,0,0,0,05
Arkansas,Crittenden,2018,90,85,5,0,0,0,0,67,47,36,0,6,50,0,34,0,05
Arkansas,Garland,2018,30,23,7,0,0,0,0,64,57,29,0,0,0,0,30,0,05
Arkansas,Jackson,2018,30,27,3,0,0,0,0,66,54,30,0,0,0,0,30,0,05
Arkansas,Newton,2018,90,88,2,0,0,0,0,84,45,34,0,0,90,0,0,0,05
